gene	zcount_L-brain-1_S70	zcount_L-brain-2_S71	zcount_L-brain-3_S72	zcount_L-ovary-1_S64	zcount_L-ovary-2_S65	zcount_L-ovary-3_S66	zcount_N-brain-1_S67	zcount_N-brain-2_S68	zcount_N-brain-3_S69	zcount_N-ovary-1_S61	zcount_N-ovary-2_S62	zcount_N-ovary-3_S63
ldb1a	0	0	0	0	0	0	0	0	0	0	0	0
ldb1b	0	0	0	0	0	0	0	0	0	0	0	0
ldb2a	0	0	0	0	0	0	0	0	0	0	0	0
ldb2b	0	0	0	0	0	0	0	0	0	0	0	0
ldb2b_1	3.99560029775074	148.787171238835	259.009043170194	0.0554635321136802	0.0556026619091121	0.573812710344921	214.410434921352	217.322707148859	109.739743798375	0.281690885078155	0.612390190633142	0.519946500729962
ldb2b_2	4.84275637453316	156.053866831733	51.2075780384418	0.0557808152456837	0.167762222829407	0.221959710500688	243.643226163431	258.702055528811	124.996936425025	0.509944172551386	0.461920059634339	0.888965516660576
ldb3a	0	0	0	0	0	0	0	0	0	0	0	0
ldb3a_1	9.72687556022954	35.1180133100564	4.04618643740672	0.765932946500401	4.03123498437883	10.8195300271933	5.31995840972419	14.5030011131349	30.0634144580653	1.16701725289328	5.28556563705456	12.2064902514269
ldb3b	0	0	0	0	0	0	0	0	0	0	0	0
ldha	0	0	0	0	0	0	0	0	0	0	0	0
ldhba	0	0	0	0	0	0	0	0	0	0	0	0
ldhbb	0	0	0	0	0	0	0	0	0	0	0	0
ldhd	0	0	0	0	0	0	0	0	0	0	0	0
ldlra	0	0	0	0	0	0	0	0	0	0	0	0
ldlrad2	0	0	0	0	0	0	0	0	0	0	0	0
ldlrad3	0	0	0	0	0	0	0	0	0	0	0	0
ldlrad4a	0	0	0	0	0	0	0	0	0	0	0	0
ldlrad4b	0	0	0	0	0	0	0	0	0	0	0	0
ldlrap1a	0	0	0	0	0	0	0	0	0	0	0	0
ldlrap1b	0	0	0	0	0	0	0	0	0	0	0	0
ldlrb	0	0	0	0	0	0	0	0	0	0	0	0
leap2	0	0	0	0	0	0	0	0	0	0	0	0
lect1	0	0	0	0	0	0	0	0	0	0	0	0
lect2l	0	0	0	0	0	0	0	0	0	0	0	0
lef1	0	0	0	0	0	0	0	0	0	0	0	0
leg1.1	0	0	0	0	0	0	0	0	0	0	0	0
leg1.2	0	0	0	0	0	0	0	0	0	0	0	0
lemd3	0	0	0	0	0	0	0	0	0	0	0	0
lenep	0	0	0	0	0	0	0	0	0	0	0	0
leng1	0	0	0	0	0	0	0	0	0	0	0	0
leng8	0	0	0	0	0	0	0	0	0	0	0	0
leng8_1	22.6445955385806	920.831002652373	772.482972231971	10.9540000102608	19.1482089758703	14.6655438480469	960.480040700553	776.744936443046	300.275196253578	16.7101968132265	16.1916994854667	17.4237632783221
leng9	0	0	0	0	0	0	0	0	0	0	0	0
leng9_1	76.2849521518356	17.3839417830937	45.114266778466	129.056235725379	102.497689077608	134.431505612872	13.9438276417771	40.90918179748	27.8861047468258	171.292785743675	142.89084242925	123.269875117942
leo1	0	0	0	0	0	0	0	0	0	0	0	0
lepa	0	0	0	0	0	0	0	0	0	0	0	0
lepb	0	0	0	0	0	0	0	0	0	0	0	0
lepr	0	0	0	0	0	0	0	0	0	0	0	0
lepr_1	0.73318435762846	60.5691566823419	34.7349819034359	0.649505905956359	1.22992201792524	0.746626216620164	44.5400218498978	41.9058155325158	14.6781161033128	1.09958073073634	0.796821964527213	1.150113371256
lepr_2	0.468171081988042	66.1791419837398	56.6165613241018	0.796561513341319	1.30673402358124	0.806814988812271	65.9612324014352	42.5979226829784	12.6612790915676	0.956236358983105	0.666294287675925	0.882513022361512
leprot	0	0	0	0	0	0	0	0	0	0	0	0
letm1	0	0	0	0	0	0	0	0	0	0	0	0
letm1_1	5.307171862583	41.6780310705783	30.7603100693271	22.1421516256518	31.4147310193108	25.7308253335277	50.0227216561373	46.2301970407571	27.2019430058285	33.0754814245516	27.9867159733425	32.3210623957841
letm2	0	0	0	0	0	0	0	0	0	0	0	0
letm2_1	67.0894401992245	359.202736045568	250.410882322388	24.3192114166895	47.4856493672678	21.1248588922483	320.795636290233	307.793388806633	344.555516543968	35.5202492604758	47.6776798856435	37.1029585112431
letmd1	0	0	0	0	0	0	0	0	0	0	0	0
letmd1_1	21.1088995311632	23.0238071473361	47.6986162994012	51.635900243037	48.7952809222928	84.8812470199861	55.8551226022629	55.0306974902736	28.3170535711592	106.620047028941	59.3883448958089	46.8193161386854
lfng	0	0	0	0	0	0	0	0	0	0	0	0
lft1	0	0	0	0	0	0	0	0	0	0	0	0
lft2	0	0	0	0	0	0	0	0	0	0	0	0
lgals1l1	0	0	0	0	0	0	0	0	0	0	0	0
lgals2a	0	0	0	0	0	0	0	0	0	0	0	0
lgals2b	0	0	0	0	0	0	0	0	0	0	0	0
lgals3a	0	0	0	0	0	0	0	0	0	0	0	0
lgals3b	0	0	0	0	0	0	0	0	0	0	0	0
lgals3bpa	0	0	0	0	0	0	0	0	0	0	0	0
lgals3bpb	0	0	0	0	0	0	0	0	0	0	0	0
lgals8a	0	0	0	0	0	0	0	0	0	0	0	0
lgals8b	0	0	0	0	0	0	0	0	0	0	0	0
lgals9l1	0	0	0	0	0	0	0	0	0	0	0	0
lgals9l3	0	0	0	0	0	0	0	0	0	0	0	0
lgals9l4	0	0	0	0	0	0	0	0	0	0	0	0
lgals9l5	0	0	0	0	0	0	0	0	0	0	0	0
lgals9l6	0	0	0	0	0	0	0	0	0	0	0	0
lgalsla	0	0	0	0	0	0	0	0	0	0	0	0
lgalslb	0	0	0	0	0	0	0	0	0	0	0	0
lgi1a	0	0	0	0	0	0	0	0	0	0	0	0
lgi1b	0	0	0	0	0	0	0	0	0	0	0	0
lgi2a	0	0	0	0	0	0	0	0	0	0	0	0
lgi2b	0	0	0	0	0	0	0	0	0	0	0	0
lgi2b_1	3.62594579333306	139.402854179615	202.076366923572	0.150996906070061	1.05962976361278	0.120167585970891	154.320890038907	112.840662065555	86.2070729167329	0.153378086443389	0	0
lgi3	0	0	0	0	0	0	0	0	0	0	0	0
lgmn	0	0	0	0	0	0	0	0	0	0	0	0
lgr4	0	0	0	0	0	0	0	0	0	0	0	0
lgr6	0	0	0	0	0	0	0	0	0	0	0	0
lgsn	0	0	0	0	0	0	0	0	0	0	0	0
lhb	0	0	0	0	0	0	0	0	0	0	0	0
lhcgr	0	0	0	0	0	0	0	0	0	0	0	0
lhfp	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl2a	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl2b	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl3	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl4a	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl4b	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl5a	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl5b	0	0	0	0	0	0	0	0	0	0	0	0
lhfpl5b_1	2.6255623326695	0	1.21353513265976	2.58434052285048	1.29541165946255	4.11338179093019	2.05144165850439	3.26231285657333	1.38323466577976	0.525018974798063	0	0.484541377132855
lhpp	0	0	0	0	0	0	0	0	0	0	0	0
lhx1a	0	0	0	0	0	0	0	0	0	0	0	0
lhx1b	0	0	0	0	0	0	0	0	0	0	0	0
lhx1b_1	0.562190690461373	19.8673620378214	15.7205973787892	0.152175153236274	0.305113766610506	0.121105268214361	19.6293783545217	18.4412710432563	8.4164764747956	0.309149828497539	0	0.14265759032633
lhx2a	0	0	0	0	0	0	0	0	0	0	0	0
lhx2b	0	0	0	0	0	0	0	0	0	0	0	0
lhx3	0	0	0	0	0	0	0	0	0	0	0	0
lhx4	0	0	0	0	0	0	0	0	0	0	0	0
lhx5	0	0	0	0	0	0	0	0	0	0	0	0
lhx5_1	22.2253977326357	139.027088264665	116.422581442187	8.26443852340893	9.74725858433562	10.2524956594359	126.381984168772	103.097844154581	63.3158096008222	7.90095669072904	12.7481964684319	10.7098510428881
lhx6	0	0	0	0	0	0	0	0	0	0	0	0
lhx6_1	0.714532873290088	4.32874473451464	13.2598247566621	0.232093810154073	0.155117343659781	0.246275711742601	47.9011940266827	6.25026092118096	23.1887029598038	0.707261600319209	0.213551690676236	0.362629761189603
lhx8a	0	0	0	0	0	0	0	0	0	0	0	0
lhx9	0	0	0	0	0	0	0	0	0	0	0	0
lias	0	0	0	0	0	0	0	0	0	0	0	0
lias_1	51.7018112391181	129.752765217016	98.0036104039308	66.9807628530542	54.8219536976735	100.430040803572	105.631899144964	166.65401355683	55.9984944018741	70.5021412012731	72.3478240179043	9.10022509828968
lifra	0	0	0	0	0	0	0	0	0	0	0	0
lifrb	0	0	0	0	0	0	0	0	0	0	0	0
lig1	0	0	0	0	0	0	0	0	0	0	0	0
lig1_1	145.414771716947	19.3483217327729	64.0767176703831	239.718448566592	83.0399240651055	179.978514944629	27.3966256051114	58.0229604496034	52.5354877170235	166.655598198506	264.989013247173	276.71773709288
lig1_2	152.785008499357	63.5021841485878	88.9954412088653	346.171314874127	353.439676801191	291.687127431433	41.9659293951128	77.1624786534656	64.4947857339069	311.101257726588	321.0853297118	355.117355496053
lig3	0	0	0	0	0	0	0	0	0	0	0	0
lig4	0	0	0	0	0	0	0	0	0	0	0	0
lim2.1	0	0	0	0	0	0	0	0	0	0	0	0
lim2.1_1	0.30728664380205	1.03421525918668	2.34346056129768	0	2.33480101457462	2.38300838793456	1.32051461088767	0.839981341810614	1.78077848704718	0.337955127478281	0.306128123510947	0
lim2.2	0	0	0	0	0	0	0	0	0	0	0	0
lim2.3	0	0	0	0	0	0	0	0	0	0	0	0
lim2.4	0	0	0	0	0	0	0	0	0	0	0	0
lim2.5	0	0	0	0	0	0	0	0	0	0	0	0
lima1a	0	0	0	0	0	0	0	0	0	0	0	0
limch1a	0	0	0	0	0	0	0	0	0	0	0	0
limch1b	0	0	0	0	0	0	0	0	0	0	0	0
limd1a	0	0	0	0	0	0	0	0	0	0	0	0
limd1b	0	0	0	0	0	0	0	0	0	0	0	0
limd2	0	0	0	0	0	0	0	0	0	0	0	0
lime1	0	0	0	0	0	0	0	0	0	0	0	0
lime1_1	0.473992758253364	12.4432425394776	16.8691209635112	0.410564866869041	0.308696073991763	0.245054303860477	13.0362057780911	31.3554492621952	0.732498357425073	0	0.188882291591369	0.096221678333468
limk1a	0	0	0	0	0	0	0	0	0	0	0	0
limk1b	0	0	0	0	0	0	0	0	0	0	0	0
limk2	0	0	0	0	0	0	0	0	0	0	0	0
lims1	0	0	0	0	0	0	0	0	0	0	0	0
lims2	0	0	0	0	0	0	0	0	0	0	0	0
lin28a	0	0	0	0	0	0	0	0	0	0	0	0
lin28b	0	0	0	0	0	0	0	0	0	0	0	0
lin37	0	0	0	0	0	0	0	0	0	0	0	0
lin52	0	0	0	0	0	0	0	0	0	0	0	0
lin54	0	0	0	0	0	0	0	0	0	0	0	0
lin7a	0	0	0	0	0	0	0	0	0	0	0	0
lin7b	0	0	0	0	0	0	0	0	0	0	0	0
lin7c	0	0	0	0	0	0	0	0	0	0	0	0
lin9	0	0	0	0	0	0	0	0	0	0	0	0
lingo1a	0	0	0	0	0	0	0	0	0	0	0	0
lingo1b	0	0	0	0	0	0	0	0	0	0	0	0
lingo2b	0	0	0	0	0	0	0	0	0	0	0	0
lingo2b_1	3.6009244796961	85.4573373669433	75.1090198826008	0	0	0	90.8624442313394	83.7941008582872	42.9844535907357	0.609278723513683	0.183966585264465	0.374869945557832
lingo3a	0	0	0	0	0	0	0	0	0	0	0	0
lingo4a	0	0	0	0	0	0	0	0	0	0	0	0
lingo4b	0	0	0	0	0	0	0	0	0	0	0	0
lins1	0	0	0	0	0	0	0	0	0	0	0	0
lipca	0	0	0	0	0	0	0	0	0	0	0	0
lipea	0	0	0	0	0	0	0	0	0	0	0	0
lipeb	0	0	0	0	0	0	0	0	0	0	0	0
lipf	0	0	0	0	0	0	0	0	0	0	0	0
lipg	0	0	0	0	0	0	0	0	0	0	0	0
lipia	0	0	0	0	0	0	0	0	0	0	0	0
lipib	0	0	0	0	0	0	0	0	0	0	0	0
lipib_1	0	1.70026327400269	0.642113249805405	0.410232694646655	0.274174506565859	0.217649813209413	0.5427357785849	0	0.731905721213565	0.138900651099487	0.251639298937801	0.256383544211074
lipib_2	0	1.70026327400269	0.642113249805405	0	0.274174506565859	0.217649813209413	0.5427357785849	0	0.731905721213565	0	0	0.256383544211074
lipin2	0	0	0	0	0	0	0	0	0	0	0	0
lipt1	0	0	0	0	0	0	0	0	0	0	0	0
lipt2	0	0	0	0	0	0	0	0	0	0	0	0
litaf	0	0	0	0	0	0	0	0	0	0	0	0
lix1	0	0	0	0	0	0	0	0	0	0	0	0
lix1l	0	0	0	0	0	0	0	0	0	0	0	0
llgl1	0	0	0	0	0	0	0	0	0	0	0	0
llgl2	0	0	0	0	0	0	0	0	0	0	0	0
llgl2_1	97.0197127973405	51.353873923172	82.6991865127451	97.3572973599425	52.081919587408	91.3714432024033	46.1877044883595	69.2530190858022	178.887956950874	78.2064176596686	129.349921945105	94.5799945346882
llph	0	0	0	0	0	0	0	0	0	0	0	0
lman1	0	0	0	0	0	0	0	0	0	0	0	0
lman2	0	0	0	0	0	0	0	0	0	0	0	0
lman2la	0	0	0	0	0	0	0	0	0	0	0	0
lman2lb	0	0	0	0	0	0	0	0	0	0	0	0
lmbr1	0	0	0	0	0	0	0	0	0	0	0	0
lmbr1_1	3.22766497286815	79.0047145363657	66.0133458112914	31.9287499145477	25.6389239232047	28.9494707378032	61.4709480049495	47.7242030781346	26.0734534369163	22.7509867208781	21.0468839201812	26.6556958907118
lmbr1l	0	0	0	0	0	0	0	0	0	0	0	0
lmbrd1	0	0	0	0	0	0	0	0	0	0	0	0
lmbrd2a	0	0	0	0	0	0	0	0	0	0	0	0
lmbrd2b	0	0	0	0	0	0	0	0	0	0	0	0
lmcd1	0	0	0	0	0	0	0	0	0	0	0	0
lmf1	0	0	0	0	0	0	0	0	0	0	0	0
lmf2a	0	0	0	0	0	0	0	0	0	0	0	0
lmf2b	0	0	0	0	0	0	0	0	0	0	0	0
lmf2b_1	508.253300343913	104.505867935279	206.798808988899	609.577788527884	633.57624886155	340.310969087358	77.2524088531555	133.026467389838	133.117162234927	409.997882943185	367.768249728181	709.039974777558
lmln	0	0	0	0	0	0	0	0	0	0	0	0
lmna	0	0	0	0	0	0	0	0	0	0	0	0
lmnb1	0	0	0	0	0	0	0	0	0	0	0	0
lmnb2	0	0	0	0	0	0	0	0	0	0	0	0
lmnl3	0	0	0	0	0	0	0	0	0	0	0	0
lmo1	0	0	0	0	0	0	0	0	0	0	0	0
lmo2	0	0	0	0	0	0	0	0	0	0	0	0
lmo3	0	0	0	0	0	0	0	0	0	0	0	0
lmo3_1	31.0564758952533	525.256022145919	573.371901625975	0.846692097825109	1.33385374210499	0.962601988764913	552.32350648264	701.751511494448	366.644958478655	0.737180745625333	0.667756574757656	0.340173013573949
lmo4a	0	0	0	0	0	0	0	0	0	0	0	0
lmo4a_1	53.0086486995264	156.782667212451	107.111605834426	68.364466756741	90.1294795874208	33.1122892869837	94.5167914313245	55.0557902590655	164.696167619994	52.8633155550697	55.2707461328698	87.1656697156452
lmo4a_2	37.2179113780542	42.3070246342238	93.9851025109912	40.2969416831963	29.2952574218183	15.7161493542519	83.1465499783872	49.8577556863335	101.176335619338	24.3968027815374	25.6596593126875	41.5292763687247
lmo4b	0	0	0	0	0	0	0	0	0	0	0	0
lmo4b_1	86.9130605992462	131.723854740676	313.915659395501	79.0526678171603	49.8065250601887	80.2393948260154	325.358055845235	334.973908053831	194.483591262044	36.810033527571	23.1252889797342	76.8481227759864
lmo7a	0	0	0	0	0	0	0	0	0	0	0	0
lmo7a_1	4.25866338705893	116.40981712561	75.9699286626089	0.561336908758952	1.28627432591644	1.18063750486631	108.054976853402	104.568709992228	74.3251822556811	0.733100194289435	1.10676718384631	1.16522124149828
lmo7b	0	0	0	0	0	0	0	0	0	0	0	0
lmo7b_1	28.2722739334654	2.19586633049605	52.705371212046	279.739579584947	285.555974170772	255.668518708081	0.778817440786691	46.9645790845034	3.50091126710513	296.827767175371	320.149928885854	296.164665811689
lmo7b_2	207.076390231956	7.43902798820294	76.204636706552	379.463064321458	358.372769635314	352.695551381774	5.34282548759153	61.929668627368	13.8764143108667	403.374866048723	368.277008960858	359.936630829834
lmod1b	0	0	0	0	0	0	0	0	0	0	0	0
lmod1b_1	0.360789557129679	3.94643157068691	4.35652568136464	0.9765940111388	0.881139409968782	2.72020346285801	6.9769562415005	4.93116935639204	16.2039866799031	2.28158765954713	2.15657593326972	2.65499184091922
lmod2a	0	0	0	0	0	0	0	0	0	0	0	0
lmod2a_1	0	1.51116400287679	0	0	0	0	0.964747970753984	0.613677643777266	0.433669928772755	0	0	0
lmod2a_2	0	0	0.570698928638169	0	0	0	0	0	1.30100978631826	0	0	0
lmod2b	0	0	0	0	0	0	0	0	0	0	0	0
lmod3	0	0	0	0	0	0	0	0	0	0	0	0
lmod3_1	1.48573872193631	5.75052558137872	2.45498311338989	1.76951894556342	0.564441108218864	0.640105891006109	1.91541649777234	1.62453244279109	13.4891710522647	0.980412971339277	0.814075485808616	1.13103210096922
lmod3_2	1.24783422690024	10.3758699545487	2.05254821575728	3.17898188453458	1.19510862501513	0.695728885672847	2.52346616550822	0.802590322833464	17.7240492049366	1.21091758842531	0.658127483084035	1.2665668568095
lmtk2	0	0	0	0	0	0	0	0	0	0	0	0
lmx1a	0	0	0	0	0	0	0	0	0	0	0	0
lmx1al	0	0	0	0	0	0	0	0	0	0	0	0
lmx1ba	0	0	0	0	0	0	0	0	0	0	0	0
lmx1bb	0	0	0	0	0	0	0	0	0	0	0	0
lnpa	0	0	0	0	0	0	0	0	0	0	0	0
lnpb	0	0	0	0	0	0	0	0	0	0	0	0
lnpep	0	0	0	0	0	0	0	0	0	0	0	0
lnx1	0	0	0	0	0	0	0	0	0	0	0	0
lnx1_1	18.0939200896255	420.52885191221	362.720925490396	0.385646189978145	1.08251802440271	0.859342645522288	446.482983481748	349.144492835479	193.201734389052	1.09683763308132	0.70967334990977	0.650747766763915
lnx2a	0	0	0	0	0	0	0	0	0	0	0	0
lnx2a_1	6.27776341867738	220.067467289415	98.2393028335639	2.03030902566419	2.21239352007792	2.10753527345187	249.806236484309	212.612380385286	108.669650988819	5.02131657373022	5.2794310436968	4.88244609454606
lnx2b	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000086	0.313457058336228	0	0	0	0	0	0	0	0	0	0	0
LOC100000155	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000155_1	8.75009052978931	4.31927867588577	5.33846621138665	5.17911111956001	9.11783919593009	8.8465376992382	10.277906694906	12.1188339479164	2.47907079860977	18.8618363972856	6.97368101989062	13.7366394001521
LOC100000228	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000275	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000278	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000365	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000417	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000458	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000504	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000545	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000633	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000636	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000694	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000713	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000748	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000748_1	67.2437726375439	10.7770533675248	13.4819085795681	62.2975162575592	76.139314990672	67.9435747666492	13.7604394324295	23.7973175529884	3.4793671977691	100.477525605729	65.7939982376604	58.5027804267485
LOC100000752	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000772	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000832	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000851	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000863	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000884	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000890	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001051	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001051_1	0.795084626747579	8.0278984125662	4.29501812550229	0.430430908814317	0.755143621861569	1.02764708070522	1.0677335881753	14.6704381378706	9.79125828574241	0.655828031761757	0.693076150597364	0.907898093952882
LOC100001114	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001114_1	1.11703790870522	27.2119373421258	40.4308168533198	1.84297177858524	1.67438283962062	2.24586721158818	45.8313363848317	19.1932492695772	6.16516677478395	1.93053603715785	2.5436034178865	1.6737151090399
LOC100001178	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001178_1	1.3296560055489	18.7955849829701	14.8725242663616	0.431897453648437	0	0.229144096360165	13.1421573369775	16.3560251054435	14.3837553661323	0.584944479587621	0	0.269923390668558
LOC100001242	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001259	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001344	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001344_1	16.104018058952	461.786359993268	393.823866046744	6.97452009055385	8.74001951810699	9.1583568581694	561.939815955351	236.83314371617	192.250591931753	12.0436608565437	8.98424985313557	5.23064749345069
LOC100001363	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001405	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001444	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001479	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001479_1	0.605939725707998	1.74803407208928	2.42056517865646	1.03096556680516	1.1275109837481	1.34258956865518	0.743979396300484	1.18311604890885	0.668861716391842	1.14242576179719	1.37978339439758	2.02083310392766
LOC100001534	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001550	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001589	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001596	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001608	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001620	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001665	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001760	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001805	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001832	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001846	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001908	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001930	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001991	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001991_1	0	1.84848794566126	0.620525392306084	0.0660734441729561	0.596152699577524	0.105166211542938	0.917855738138498	1.50132708942851	1.76824759855349	0.0671154045187515	0.243179181772574	0.123881962722786
LOC100002043	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002054	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002059	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002059_1	1.05536071316377	3.86082709925656	1.04980420206281	0.993626514958387	0.298835705569137	0.711680341605382	1.38029099245049	1.12886381386188	3.72277971777763	0.302788720915285	0.365698028791442	0.465740829871968
LOC100002071	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002134	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002141	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002202	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002202_1	9.56157805442132	43.6228617763295	50.2334168593229	5.0612737898511	7.61095492772793	6.0418561124221	63.9167416921491	44.7232896999963	34.4779399270767	4.90740285835521	6.35035290695122	7.54842476581514
LOC100002266	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002283	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002283_1	0.053778691450887	0.542998640905086	0.273421673206068	0.0582277917527866	0.0583738556698555	0.0926786296945915	0.577763053224853	0.294012761809687	0.519427808578299	0.177438084845051	0.107151874191705	0
LOC100002283_2	0	0.688723642123879	0.520200115857209	0	0.0555297722496289	0.0881631535263823	0.439690685381868	0.279687910185575	0.494120314299741	0.0562643231676753	0	0.0519264901646636
LOC100002327	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002381	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002392	0.415901283440785	6.99886347691162	2.64315711620609	0.225154356386885	8.12588954983646	0.358368342531307	0	0	31.3328449248479	0.686114939090008	0.207166634205454	0.633217261501774
LOC100002406	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002469	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002472	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002472_1	0	5.09254945072859	9.13533171956591	0.409569960083413	0.821194725643137	1.30378918801374	1.21918271425251	2.0680639174788	5.84578656814194	0	0.188424580060857	2.49570120459423
LOC100002472_2	0.17645246614707	1.18774985305237	4.48559896435275	0.191050343098442	0.383059182496686	0.152043238014413	0	0	2.38600162017323	0	0	0.716405562874651
LOC100002481	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002503	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002544	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002544_1	0.0980948565467792	8.58394332425909	0.748100941645929	0	0.638859910146337	0	0.2107733836398	3.48590497359696	1.32644497275655	0.107885130766003	0.293175069269386	0
LOC100002570	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002591	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002633	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002706	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002814	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002818	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002923	3.90626062449984	9.01512328884936	9.362672271114	3.50438053072323	26.8939315558696	6.34711671676754	9.35249123125828	8.84742978614439	7.33022069310745	3.43689733073241	2.33492003451962	4.98444804636858
LOC100002960	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003022	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003040	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003133	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003140	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003182	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003291	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003530	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003556	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003647	0	75.2430579020338	0	0	0	1.0138762655534	5.05644288189148	0	11.364767228894	0	0	0
LOC100003687	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003704	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003704_1	1.72077175002269	68.8544150320032	42.6096495415916	0.69004846296035	1.38355888724307	2.91054789678597	68.6067363747549	62.7173875028545	110.063161601721	2.52334922617969	2.34920422271846	2.52287269294038
LOC100003716	0.453783764684422	30.5454274224902	2.3071278394171	0	0	0	8.77528023398026	13.6448131919701	2.62975427738362	0	0	0
LOC100003741	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003868	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004033	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004075	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004104	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004160	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004180	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004186	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004199	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004253	0	0	0	0	0	0	0	0	0	0	0	0
